gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used
0,1988.07400109469,351.030725142576,561.859523467389,2217.38252822647,0.133333333333333,-488,0,0.444444444444444,0.115559294407053,5.76666666666667,7.2,8.63333333333333,0.130179673653584,0.144683089812708,0.629422412110174,0.663210862939499,0.148344344927392,117.36057707979,0.134757686707882,0.784785968122454,0.0804563451696646,0.1
1,1939.58039215686,229.63682002654,439.603253420366,2168.24070961718,0.0666666666666667,-362,0,0.25,0.100292219687271,5.47777777777778,7.02222222222222,8.26666666666667,0.128874428645792,0.144990636228922,0.611652281024748,0.648063879934365,0.149311296188537,110.563566885929,0.139584138937462,0.758887582353617,0.101528278708922,0.1
2,2053.36666666667,305.384338277416,529.393176350981,2273.35747126437,0.1,-610,0,0.375,0.121842013368623,5.31111111111111,7,8.04444444444444,0.131221161523573,0.143852629388373,0.617073006384628,0.649055861798282,0.148882711444927,102.57713807323,0.148953996386179,0.747866980041964,0.103179023571857,0.1
3,2048.26666666667,451.754683460504,618.55145946133,2099.81683919945,0.2,-362,0,0.333333333333333,0.138479040018734,6.26666666666667,7.57777777777778,9.65555555555556,0.133304354589641,0.143475461887699,0.639191516154758,0.657300761675912,0.151501678708832,103.065783147942,0.123939597979292,0.78251820302729,0.0935421989934185,0.1
4,2411.78333333333,492.237360414363,677.540576417223,2523.76360412637,0.188888888888889,-810,0,0.5,0.141785941682709,5.97777777777778,7.46666666666667,9.1,0.13522504924505,0.142387398104651,0.642684888429879,0.634808523701438,0.15471515118294,97.8918194224002,0.11165465369317,0.777484347089965,0.110860999216864,0.1
5,1959.10980392157,241.509867120571,437.023851898589,2181.76030897207,0.0666666666666667,-360,0,0.25,0.0984443271277105,6.67777777777778,7.93333333333333,10.1666666666667,0.135201001074758,0.140743388161377,0.663455186784111,0.640792248360467,0.156721872296056,114.579904561516,0.122576590666376,0.787320516102895,0.0901028932307292,0.1
6,2012.74166666667,440.800202260715,638.792668213201,2078.46920289855,0.166666666666667,-414,0,0.25,0.12685643198229,5.95555555555556,7.44444444444445,9,0.130483463403921,0.144171629933087,0.636209374821626,0.670010679825549,0.149160710020693,100.262939087523,0.109457889837371,0.778736893738801,0.111805216423828,0.1
7,2644.87450980392,457.891730347277,653.088962057986,2569.30077243018,0.166666666666667,-794,0,0.75,0.149001799327886,6.7,8.06666666666667,10.1222222222222,0.13183176416615,0.145103567236423,0.655883661782362,0.676182690519595,0.150119444871433,105.83651412061,0.106869209695297,0.761143474078257,0.131987316226447,0.1
8,1654.8358974359,201.1880937693,277.220405199325,1725.0224471435,0.0333333333333333,-110,0,0.230769230769231,0.10034241164127,6.88888888888889,8.35555555555556,10.3666666666667,0.134102139259571,0.143180766763806,0.652427812148634,0.676913820019754,0.153794723680082,129.646045152071,0.124447824157462,0.772853232529739,0.102698943312798,0.1
9,1898.58039215686,238.784212740336,400.54236847641,2130.574718398,0.0666666666666667,-360,0,0.25,0.104833565660652,6.01111111111111,7.51111111111111,9.11111111111111,0.13426912466514,0.141606356936013,0.654184294247739,0.652549921016475,0.155444712742859,100.342043232785,0.106550755406328,0.787321308080928,0.106127936512744,0.1
