gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used,theta_fitness,theta_clear,theta_time,theta_damage,theta_acc
0,1140.3812409812408,175.28945252869815,202.8955297278917,1232.707367107367,0.03333333333333333,-128.0,1.0,0.2727272727272727,0.11179703515448686,6.3,7.866666666666666,9.466666666666667,0.13181201683067742,0.13217166770102307,0.6184886362054479,0.6452810354440648,0.1523938325962414,103.16777163231653,0.14172365810371576,0.7787007351972921,0.07957560669899198,0.1,169.7763713080169,False,2044.0,1.0,0.1
1,1812.4577030812325,204.49934194469168,320.40323592069274,2042.4395212630507,0.03333333333333333,-342.0,0.0,0.3333333333333333,0.12102369370716605,5.666666666666667,7.333333333333333,8.466666666666667,0.13677807744791284,0.13118189530046653,0.6360459968045136,0.6341212433929824,0.1547103202644581,93.66465061091093,0.1384675348901377,0.7503096678746456,0.11122279723521696,0.1,149.3837360422446,False,2048.0,2.0,0.09523809523809523
2,2446.8,284.013525016086,552.0982387540951,2543.21,0.06666666666666667,-800.0,0.0,0.5,0.147082912619997,5.266666666666667,6.933333333333334,7.933333333333334,0.1316072091355556,0.13418173595286964,0.5962929818053122,0.6421477294820813,0.1541253898631216,99.10017671957219,0.1319202328899686,0.781460587098375,0.08661918001165655,0.1,178.73613445378152,False,1758.0,3.0,0.125
3,1825.7179487179487,210.17821699933708,374.9232408982511,2053.037948717949,0.06666666666666667,-528.0,1.0,0.5,0.13070430564647215,5.266666666666667,6.866666666666666,7.933333333333334,0.13640361087906516,0.13500996507345103,0.6538276032105513,0.6308450790496672,0.15454359690986144,99.51600656012488,0.13304432799185706,0.7883427874235357,0.0786128845846072,0.1,167.69070443676074,False,2044.0,1.0,0.15789473684210525
4,2550.4564102564104,231.5880159753453,439.55436662263065,2781.778149386845,0.03333333333333333,-878.0,0.0,0.6,0.12361805196646,5.833333333333333,7.2,8.8,0.13659606100177482,0.13350653895907397,0.6369547600075625,0.624423510320678,0.15649736885602505,95.68751720648619,0.16105575105570175,0.7593673452159011,0.07957690372839707,0.1,188.3879782743202,False,2044.0,1.0,0.15789473684210525
5,1303.5982683982684,152.44110093303797,247.82873124384366,1532.2649350649351,0.03333333333333333,-130.0,1.0,0.36363636363636365,0.12090043864757823,4.966666666666667,6.466666666666667,7.5,0.13670978751399818,0.13731660419958555,0.646561524177963,0.63298664193928,0.15819232252233162,104.02482911598207,0.13462792291167575,0.7640405483071387,0.10133152878118552,0.1,168.72819631628073,False,2046.0,0.0,0.15
6,1798.2247619047619,343.288650958949,464.40951383998646,1883.6914285714286,0.13333333333333333,-298.0,0.0,0.375,0.13052475757816315,6.633333333333334,8.2,10.0,0.13533177932387525,0.13675181318733312,0.6549884638837946,0.6812389295701566,0.15256627962037064,99.25277907641299,0.1437914276460458,0.7628331956237012,0.09337537673025288,0.1,191.4632911392405,False,2046.0,1.0,0.15
7,1150.093023255814,171.33393850992505,226.79542457597773,1371.3919479869967,0.03333333333333333,-106.0,1.0,0.3,0.11561460387691289,5.266666666666667,7.066666666666666,7.9,0.1325721371437819,0.13660215900361278,0.6331418316718852,0.650226688481794,0.15271668843223388,100.8372137945344,0.11426986372741892,0.8038936997103381,0.08183643656224301,0.1,165.10369487771612,False,2046.0,0.0,0.15789473684210525
8,373.65608465608466,127.22678165831807,142.10213156686603,599.628014480646,0.0,2044.0,1.0,0.23333333333333334,0.11202735220638035,5.9,7.466666666666667,8.966666666666667,0.13372432802949116,0.14363660636370268,0.6360698332537578,0.6889572663845737,0.151893620379978,96.36675114805152,0.17572152047535677,0.7259214436931828,0.09835703583146037,0.1,188.12995780590717,False,2046.0,0.0,0.15
9,1867.5838383838384,247.1053037505863,424.9051002443539,2093.5557682084,0.06666666666666667,-364.0,0.0,0.375,0.12216144937507169,5.7,7.266666666666667,8.633333333333333,0.13785314859826522,0.1441624675930512,0.634903163224052,0.6947970706784439,0.15322925369291043,99.15354130771098,0.15784533501509762,0.7480165555500952,0.09413810943480704,0.1,143.35936042638238,False,2046.0,2.0,0.10526315789473684
10,266.62822747975576,151.50639118293975,72.65782389118603,348.9251971767255,0.0,1350.0,3.0,0.16666666666666666,0.11337313356639432,5.633333333333334,7.4,8.5,0.13676781027780108,0.1365700222643473,0.6528744658283964,0.671274373123551,0.154170894859397,98.6659519279091,0.14173051551577912,0.7767413829356351,0.08152810154858578,0.1,164.65756272983933,False,2046.0,2.0,0.15789473684210525
11,1379.1311942959003,156.27173641600498,248.1702495435074,1610.0562248209308,0.03333333333333333,-344.0,1.0,0.2727272727272727,0.10259148443218755,5.3,6.866666666666666,7.966666666666667,0.1362271318571143,0.1410350743015834,0.6366834372537054,0.663600919050775,0.155796533486987,109.82718314407491,0.1354286750334895,0.7748596717732315,0.08971165319327926,0.1,186.4632911392405,False,2046.0,0.0,0.15
12,1477.5871148459385,184.25155402810455,254.62726363195083,1578.968311427135,0.03333333333333333,-340.0,1.0,0.3333333333333333,0.12358941251482035,5.733333333333333,7.333333333333333,8.6,0.13933546063117366,0.14017170162103182,0.6508456509745516,0.6722958650364166,0.15899471697796158,100.17649284764077,0.13505717944316897,0.7891616132632593,0.07578120729357166,0.1,186.4632911392405,False,2046.0,0.0,0.15
13,1997.462476190476,209.48253030811466,343.79537156712644,2212.1164444444444,0.03333333333333333,-552.0,0.0,0.3333333333333333,0.11184697157237204,5.6,7.2,8.4,0.13950160605223136,0.14060405061277242,0.667095635514045,0.657118865863101,0.16096469276480466,109.17228813976226,0.17344488865655913,0.7465761469651628,0.07997896437827788,0.1,184.79662447257382,False,2046.0,0.0,0.15
14,2121.1925925925925,208.9570727543468,365.4617935962449,2345.1773544973544,0.03333333333333333,-750.0,1.0,0.6,0.11059331299262647,6.1,7.4,9.133333333333333,0.1422947255944325,0.14199711631628809,0.6672415961470982,0.6873759494955874,0.16137103936796807,102.71503341892306,0.16639159306665027,0.7450386531639394,0.08856975376941052,0.1,184.79662447257382,False,2046.0,0.0,0.15
15,448.8412698412698,175.48278921976987,104.98741466029513,555.8196825396825,0.0,968.0,3.0,0.3,0.12056417749911269,5.766666666666667,7.533333333333333,8.666666666666666,0.1394966545215796,0.14057985112608284,0.6507630708258977,0.6748886747749862,0.15784795121140266,99.76784104345599,0.17697636681142315,0.7457047491185897,0.07731888406998702,0.1,174.99696969696967,False,2044.0,1.0,0.13636363636363635
16,1173.327906976744,169.4404560643453,220.39094262453042,1401.969176818014,0.03333333333333333,-104.0,1.0,0.3,0.1139905397087835,5.833333333333333,7.266666666666667,8.733333333333333,0.14388370684289323,0.14168761212110043,0.6888901891502003,0.6709624887364628,0.16555534179653406,98.60672738238416,0.15901482346708262,0.7578185623539417,0.08316661417897563,0.1,149.2615796581917,False,2046.0,1.0,0.15
17,2048.430687830688,329.9669016395638,514.6967747804895,2116.81164021164,0.1,-504.0,0.0,0.42857142857142855,0.15049513535137657,5.533333333333333,7.266666666666667,8.366666666666667,0.14039092198124775,0.14409777828550974,0.6598129354721295,0.6626569186815277,0.1643149774972183,98.65797552835245,0.17918154668388422,0.7413345579497987,0.07948389536631706,0.1,185.61829809691972,False,2044.0,2.0,0.15789473684210525
18,1940.2380952380952,204.7893543510496,343.63380051671476,2159.5619047619048,0.03333333333333333,-396.0,0.0,0.42857142857142855,0.12430527135562987,5.433333333333334,7.133333333333334,8.133333333333333,0.14245803973139676,0.14533922954154985,0.6682847447100551,0.683162970843534,0.166059221364763,89.35435547175692,0.13365026516464168,0.7610847362762978,0.10526499855906035,0.1,142.80002222907345,False,2046.0,2.0,0.1
19,2367.4622222222224,234.5465315636463,479.9399903795403,2593.4622222222224,0.06666666666666667,-816.0,1.0,0.75,0.1411275114819811,5.166666666666667,6.933333333333334,7.766666666666667,0.14282952579838987,0.14519600697485885,0.6675520400449102,0.6889876969762317,0.1637481366328953,98.9157636262589,0.15685796083600023,0.7376402548551734,0.10550178430882645,0.1,163.8727679161692,False,2044.0,2.0,0.10526315789473684
20,2590.1809523809525,356.18374119210443,564.8103612364895,2525.434054834055,0.1,-858.0,0.0,0.6,0.14144655609949278,6.0,7.666666666666667,9.033333333333333,0.14173471794373416,0.14686606289217796,0.6703162177825223,0.7108533182667316,0.1628619225352417,103.24823467187618,0.1409045181730155,0.7805117252863247,0.07858375654065966,0.1,233.78148148148148,False,2046.0,2.0,0.13333333333333333
21,1994.7619047619048,202.74441582576512,352.8511123233374,2229.035497835498,0.03333333333333333,-492.0,0.0,0.375,0.10253076451490324,5.866666666666666,7.533333333333333,8.8,0.14111742515127662,0.1456563665443233,0.6525292977031726,0.6679702017118765,0.16552883217737252,102.56353613454148,0.16584831396587127,0.7277308724284092,0.10642081360571962,0.1,231.24894768650654,False,1922.0,3.0,0.13333333333333333
22,1980.0725779967158,246.58548780305927,391.3197459730401,2204.709615033753,0.06666666666666667,-470.0,0.0,0.42857142857142855,0.11306557547296761,6.466666666666667,7.866666666666666,9.666666666666666,0.14497986743668628,0.147376334521012,0.6946929240176931,0.7095751109924897,0.16581046969029092,108.51719209996939,0.15001030801769188,0.7390987625021533,0.11089092948015479,0.1,178.04825593395253,False,2046.0,1.0,0.10526315789473684
23,243.16027410297897,138.9980723337163,91.7766328030456,341.0846643468814,0.0,2046.0,1.0,0.14285714285714285,0.11026744322704413,5.633333333333334,7.266666666666667,8.466666666666667,0.14401409076764313,0.14648238507767342,0.6821217147249883,0.691898613532841,0.16662120311696133,102.78598137377409,0.15065273042642138,0.7443870289123689,0.10496024066120982,0.1,202.51706705333697,False,2044.0,1.0,0.10526315789473684
