gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used,theta_fitness,theta_clear,theta_time,theta_damage,theta_acc,mean_screens_cleared,max_screens_cleared,theta_screens_cleared
0,316.92877005347594,126.15812608491898,128.7046673414463,617.1586642333701,0.03333333333333333,988.0,3.0,0.18181818181818182,0.10184120573680071,7.133333333333334,8.533333333333333,10.7,0.13320632947096747,0.13377896551379473,0.6375016612664819,0.6704496840698447,0.15380055329091366,108.69093442452082,0.14445024367106746,0.7713455979777489,0.08420415835118351,0.1,72.26897546897544,False,1122.0,3.0,0.2222222222222222,0.06666666666666667,1.0,0.0
1,357.29333333333335,112.84672306801521,131.45668634597442,587.2751515151515,0.03333333333333333,1288.0,3.0,0.25,0.10819348997771396,5.633333333333334,7.266666666666667,8.466666666666667,0.13808308638167868,0.13070663247132647,0.645741354269802,0.621634444685733,0.15767343862801286,97.96962572201389,0.1568499768081138,0.7295680256811633,0.11358199751072277,0.1,72.27503607503604,False,1118.0,3.0,0.2222222222222222,0.03333333333333333,1.0,0.0
2,743.8032921810699,214.4962534304042,198.5730287439041,843.9632921810698,0.13333333333333333,874.0,3.0,0.2,0.1442230823177115,6.1,7.666666666666667,9.166666666666666,0.13467081161197567,0.13581451186902047,0.6308385925221324,0.6734375740826188,0.15682298072896064,107.33719225108399,0.14297096794539246,0.7544868863283188,0.10254214572628895,0.1,120.89238838347028,False,2044.0,0.0,0.08333333333333333,0.16666666666666666,1.0,0.0
3,1318.9049180327868,200.03116051820058,227.64510672723367,1533.558886286755,0.03333333333333333,370.0,3.0,0.25,0.11182664194323012,6.466666666666667,7.733333333333333,9.733333333333333,0.13844712011461474,0.13521674271326284,0.664947443801801,0.652366832260473,0.16071302924191325,100.31264849219498,0.12497403863508909,0.7866874373118462,0.08833852405306482,0.1,116.42134092291182,False,2044.0,0.0,0.08333333333333333,0.06666666666666667,1.0,0.0
4,730.0259042668399,149.52403248096746,147.94221302443052,944.6798725208082,0.03333333333333333,876.0,3.0,0.21052631578947367,0.10897841362172028,6.0,7.4,9.0,0.13800854499740886,0.13469581722288276,0.6472531042577104,0.6402633305010391,0.1606158846997695,107.22302871596773,0.13496947610191318,0.775445697725446,0.08958482617264082,0.1,124.43103183736095,False,2046.0,0.0,0.09090909090909091,0.06666666666666667,1.0,0.0
5,1462.102222222222,154.38810962128164,282.47127275091685,1695.0957181571814,0.06666666666666667,342.0,3.0,0.3333333333333333,0.10152892938815786,6.566666666666666,8.266666666666667,9.866666666666667,0.13931036967856353,0.14006150291553682,0.6921833964751616,0.6612825260192317,0.1619351874431946,111.62516872760801,0.1061200369560344,0.7786691223390926,0.11521084070487311,0.1,189.79662447257382,False,2048.0,1.0,0.15,0.1,1.0,0.0
6,279.0814814814815,132.44045039922173,118.79898297016061,511.4981481481482,0.03333333333333333,1376.0,3.0,0.14814814814814814,0.10512576264016565,6.333333333333333,7.866666666666666,9.5,0.13627184492172198,0.13684073632560953,0.6460996436073623,0.6639477510142691,0.15637445740373407,103.43133109261545,0.15362163208748664,0.7320666356563291,0.11431173225618417,0.1,199.2599887656595,False,2044.0,1.0,0.15789473684210525,0.03333333333333333,1.0,0.0
7,323.04239028944914,134.4367743322107,130.76820334518624,720.9314332113366,0.13333333333333333,2046.0,2.0,0.19444444444444445,0.12407231081706342,6.433333333333334,7.8,9.766666666666667,0.13780532182965913,0.1346764089368844,0.6777157258436837,0.6614214548592583,0.16120986642663698,100.36967038922013,0.1200232519160555,0.7769640148013461,0.10301273328259833,0.1,162.69841617295035,False,2046.0,1.0,0.15789473684210525,0.13333333333333333,1.0,0.0
8,344.26085823218176,188.8482869876387,58.15200708870822,242.4810346802063,0.0,2044.0,1.0,0.20588235294117646,0.1220345980997126,6.633333333333334,8.133333333333333,9.933333333333334,0.1374175247162177,0.1393997192240521,0.6576742794500497,0.6805384691402115,0.15823162168517635,95.89051824412235,0.15884547216300085,0.7432599191959035,0.0978946086410957,0.1,167.41271702124692,False,2044.0,2.0,0.15,0.0,0.0,0.0
9,330.51136653895276,138.26942610417444,95.75425414276705,454.41365774368296,0.1,2046.0,2.0,0.20689655172413793,0.11646605248323354,6.633333333333334,8.2,9.966666666666667,0.13998888030723056,0.1382812148006541,0.6701092960671288,0.6617527682963125,0.15838625027952216,104.08077845091445,0.14003345962056002,0.7768889168025219,0.08307762357691804,0.1,176.29275384819184,False,2044.0,2.0,0.15789473684210525,0.1,1.0,0.0
